date,continent,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential
01/03/2020,AF,3.0,3.0,0.0,3.0,6.0,-1.0
01/03/2020,AM_N,19.0,11.0,24.0,11.0,3.0,-2.0
01/03/2020,AM_S,1.0,6.5,-6.0,-1.0,2.0,1.0
01/03/2020,AS,-2.0,7.0,-2.0,-8.0,4.0,2.0
01/03/2020,EU,5.0,3.0,6.5,5.0,1.0,0.0
01/03/2020,OC,2.5,4.5,2.0,6.0,2.0,0.0
01/04/2020,AF,-42.0,-27.5,-29.5,-48.0,-34.0,18.0
01/04/2020,AM_N,-30.0,-4.0,0.0,-24.0,-38.0,17.0
01/04/2020,AM_S,-64.0,-36.0,-61.0,-65.0,-50.0,23.0
01/04/2020,AS,-32.0,-13.0,-30.0,-40.0,-29.0,13.0
01/04/2020,EU,-70.0,-31.0,-33.0,-62.0,-55.0,23.0
01/04/2020,OC,-86.0,-36.0,-61.0,-70.0,-62.0,22.0
02/03/2020,AF,1.0,2.0,-2.0,2.0,6.0,0.0
02/03/2020,AM_N,10.0,5.0,11.0,3.0,3.0,-1.0
02/03/2020,AM_S,0.0,4.0,-4.0,1.0,15.0,-1.0
02/03/2020,AS,-2.0,4.0,-1.0,-6.0,2.0,2.0
02/03/2020,EU,2.0,3.0,8.0,1.0,1.0,0.0
02/03/2020,OC,-3.5,1.0,-7.0,7.0,20.0,-1.0
02/04/2020,AF,-40.0,-23.0,-27.5,-46.0,-33.0,18.0
02/04/2020,AM_N,-34.0,-7.0,-6.0,-27.0,-39.0,18.0
02/04/2020,AM_S,-65.0,-37.5,-60.0,-68.0,-50.5,24.0
02/04/2020,AS,-31.0,-13.0,-24.0,-43.0,-30.0,13.0
02/04/2020,EU,-69.0,-30.0,-30.0,-63.0,-55.0,23.0
02/04/2020,OC,-86.5,-35.0,-69.0,-73.0,-61.0,24.0
03/03/2020,AF,2.0,3.0,2.0,3.0,7.0,-1.0
03/03/2020,AM_N,15.0,10.0,18.0,4.0,2.0,-1.0
03/03/2020,AM_S,0.0,3.0,-4.0,0.0,14.0,-1.0
03/03/2020,AS,0.0,6.0,1.0,-8.0,3.0,1.0
03/03/2020,EU,2.0,2.0,7.0,-1.0,2.0,0.0
03/03/2020,OC,-3.0,0.5,-6.0,8.0,17.0,-1.0
03/04/2020,AF,-42.0,-26.0,-30.0,-54.0,-33.0,19.0
03/04/2020,AM_N,-36.0,-5.0,-18.0,-33.0,-39.0,20.0
03/04/2020,AM_S,-65.0,-35.0,-62.0,-66.0,-47.5,25.0
03/04/2020,AS,-33.0,-15.0,-25.0,-43.0,-27.0,13.0
03/04/2020,EU,-70.0,-28.0,-30.0,-63.0,-53.0,24.0
03/04/2020,OC,-88.0,-35.0,-71.0,-70.5,-61.5,29.0
04/03/2020,AF,2.0,3.0,1.0,3.0,7.0,0.0
04/03/2020,AM_N,11.0,6.0,18.0,4.0,2.0,-1.0
04/03/2020,AM_S,0.0,3.0,-3.0,0.0,15.0,-1.0
04/03/2020,AS,-2.0,2.0,-3.0,-7.0,2.0,2.0
04/03/2020,EU,1.0,3.0,7.0,0.0,1.0,0.0
04/03/2020,OC,-2.0,0.5,-14.5,4.0,16.0,-1.0
04/04/2020,AF,-45.5,-26.0,-34.0,-55.0,-27.0,17.0
04/04/2020,AM_N,-44.0,-10.0,-20.0,-36.0,-30.0,14.0
04/04/2020,AM_S,-67.0,-37.0,-68.0,-68.0,-41.0,23.0
04/04/2020,AS,-36.5,-17.0,-32.0,-44.0,-20.0,12.0
04/04/2020,EU,-75.0,-34.0,-39.0,-62.0,-46.0,16.0
04/04/2020,OC,-90.5,-45.0,-74.0,-70.0,-49.0,18.0
05/03/2020,AF,3.0,4.0,1.0,3.0,7.0,-0.5
05/03/2020,AM_N,11.0,7.0,20.0,6.0,2.0,-1.0
05/03/2020,AM_S,0.0,3.0,-2.0,0.5,15.0,-1.0
05/03/2020,AS,-2.0,3.0,-3.0,-8.5,2.0,2.0
05/03/2020,EU,2.0,3.0,8.0,0.0,1.0,0.0
05/03/2020,OC,-1.0,1.5,-13.5,8.0,17.5,-1.0
05/04/2020,AF,-37.0,-24.0,-27.0,-46.0,-19.0,15.0
05/04/2020,AM_N,-41.0,-13.0,-4.0,-39.0,-34.0,11.0
05/04/2020,AM_S,-74.0,-47.0,-73.0,-73.0,-39.5,22.0
05/04/2020,AS,-37.0,-18.0,-31.0,-49.0,-15.0,12.0
05/04/2020,EU,-78.0,-39.0,-36.0,-63.0,-45.0,13.0
05/04/2020,OC,-89.5,-43.5,-74.0,-74.0,-46.5,18.0
06/03/2020,AF,4.0,4.0,3.0,3.5,8.0,0.0
06/03/2020,AM_N,7.0,3.0,11.0,7.0,2.0,0.0
06/03/2020,AM_S,0.0,2.0,-5.0,1.0,18.0,-2.0
06/03/2020,AS,-4.0,2.0,0.0,-11.5,-1.0,3.0
06/03/2020,EU,2.0,4.0,8.0,2.0,1.0,0.0
06/03/2020,OC,3.0,4.0,-7.0,9.0,17.5,-1.0
06/04/2020,AF,-47.0,-25.0,-29.0,-44.0,-32.0,18.0
06/04/2020,AM_N,-37.0,-13.0,3.0,-30.0,-38.0,17.0
06/04/2020,AM_S,-64.5,-34.0,-62.0,-67.0,-49.5,22.0
06/04/2020,AS,-32.5,-16.0,-26.0,-42.0,-28.0,13.0
06/04/2020,EU,-66.0,-28.0,-22.0,-60.0,-54.0,21.0
06/04/2020,OC,-85.5,-33.0,-66.5,-69.5,-59.0,23.0
07/03/2020,AF,5.0,4.0,2.0,2.0,6.0,0.0
07/03/2020,AM_N,13.0,8.0,32.0,12.0,3.0,-2.0
07/03/2020,AM_S,2.0,4.0,-4.0,-2.0,6.0,1.0
07/03/2020,AS,-4.0,3.0,-2.0,-11.5,2.0,2.0
07/03/2020,EU,3.0,4.0,10.0,2.0,2.0,0.0
07/03/2020,OC,5.0,3.5,1.5,1.0,4.0,0.0
07/04/2020,AF,-49.0,-26.0,-26.5,-43.0,-33.0,18.0
07/04/2020,AM_N,-37.0,-12.0,5.0,-26.0,-40.0,17.0
07/04/2020,AM_S,-67.0,-30.0,-62.0,-63.5,-52.0,22.0
07/04/2020,AS,-32.0,-15.0,-23.5,-43.0,-30.5,13.0
07/04/2020,EU,-65.0,-25.0,-14.0,-57.5,-54.0,21.0
07/04/2020,OC,-85.0,-32.0,-64.0,-72.5,-61.5,22.0
08/03/2020,AF,2.0,3.0,1.0,1.0,7.0,0.0
08/03/2020,AM_N,16.0,10.0,45.0,13.0,2.0,-1.0
08/03/2020,AM_S,4.0,4.0,-3.0,-4.5,3.0,1.0
08/03/2020,AS,-3.0,2.0,-3.0,-11.0,1.0,2.0
08/03/2020,EU,8.0,7.0,14.0,5.0,2.0,-1.0
08/03/2020,OC,3.0,3.0,-3.0,0.0,0.0,1.0
08/04/2020,AF,-50.0,-29.0,-28.5,-46.0,-34.0,18.0
08/04/2020,AM_N,-37.0,-11.0,4.5,-27.0,-41.0,17.0
08/04/2020,AM_S,-65.0,-28.0,-59.0,-62.0,-51.5,22.0
08/04/2020,AS,-32.0,-15.0,-24.0,-44.0,-31.0,13.0
08/04/2020,EU,-65.0,-23.0,-18.0,-58.0,-54.0,20.0
08/04/2020,OC,-85.0,-29.0,-70.5,-75.5,-61.0,23.0
09/03/2020,AF,-1.0,-0.5,-2.0,1.0,7.0,0.0
09/03/2020,AM_N,9.0,6.0,29.0,5.0,2.0,0.0
09/03/2020,AM_S,-4.0,0.0,-8.0,-3.0,15.0,0.0
09/03/2020,AS,-3.0,1.0,4.0,-11.0,-1.0,3.0
09/03/2020,EU,0.0,3.0,6.0,-1.0,0.0,1.0
09/03/2020,OC,-4.5,-1.0,-5.0,1.0,18.0,0.0
09/04/2020,AF,-48.0,-26.5,-27.0,-47.0,-33.0,19.0
09/04/2020,AM_N,-37.0,-9.0,-13.0,-30.0,-41.0,19.0
09/04/2020,AM_S,-70.0,-29.0,-64.0,-67.0,-61.0,24.0
09/04/2020,AS,-31.0,-12.0,-23.0,-45.0,-30.5,13.0
09/04/2020,EU,-65.0,-17.0,-18.0,-58.0,-55.0,22.0
09/04/2020,OC,-84.0,-14.0,-73.5,-70.0,-59.0,21.0
10/03/2020,AF,0.0,-1.0,0.0,1.0,6.0,0.0
10/03/2020,AM_N,9.0,7.0,25.0,5.0,1.0,0.0
10/03/2020,AM_S,-2.0,2.0,-6.0,-1.0,16.0,-2.0
10/03/2020,AS,-3.0,2.0,-4.0,-12.0,-2.5,4.0
10/03/2020,EU,0.0,6.0,4.0,-2.0,0.0,1.0
10/03/2020,OC,-4.0,0.0,-8.0,6.0,16.0,-1.0
10/04/2020,AF,-58.0,-34.0,-32.0,-54.5,-41.0,20.0
10/04/2020,AM_N,-38.0,-9.0,-12.0,-36.5,-48.0,22.0
10/04/2020,AM_S,-84.0,-59.0,-75.0,-78.0,-72.0,31.0
10/04/2020,AS,-42.5,-22.5,-31.0,-51.0,-37.0,18.0
10/04/2020,EU,-75.0,-30.0,-22.0,-65.0,-74.0,28.0
10/04/2020,OC,-95.0,-89.5,-68.0,-81.0,-82.5,35.0
11/03/2020,AF,1.0,0.0,3.0,0.5,6.0,-1.0
11/03/2020,AM_N,10.0,10.0,31.0,5.0,1.0,0.0
11/03/2020,AM_S,-4.0,0.0,-6.0,-2.0,14.0,-1.0
11/03/2020,AS,-1.0,3.0,3.0,-12.0,-2.0,3.0
11/03/2020,EU,-1.0,6.0,10.0,-5.0,-1.0,1.0
11/03/2020,OC,-3.0,-1.0,-9.0,5.0,16.0,-1.0
11/04/2020,AF,-56.5,-28.0,-34.0,-51.5,-27.0,17.0
11/04/2020,AM_N,-41.0,-4.0,-9.0,-38.0,-32.0,13.0
11/04/2020,AM_S,-74.0,-37.0,-68.0,-71.0,-49.0,24.0
11/04/2020,AS,-42.0,-20.5,-37.0,-53.0,-25.0,14.0
11/04/2020,EU,-74.0,-25.5,-33.0,-58.0,-47.0,15.0
11/04/2020,OC,-87.0,-28.5,-73.5,-71.5,-46.0,18.0
12/03/2020,AF,-5.0,-4.0,-4.5,-5.5,2.0,1.0
12/03/2020,AM_N,11.0,22.0,27.0,5.0,0.0,0.0
12/03/2020,AM_S,-5.0,1.0,-7.0,-2.0,14.0,-1.0
12/03/2020,AS,0.0,4.0,3.0,-11.5,-2.0,3.0
12/03/2020,EU,-2.0,13.0,5.0,-7.0,-2.0,2.0
12/03/2020,OC,-1.0,1.5,-9.5,4.0,18.0,-1.0
12/04/2020,AF,-51.0,-38.0,-31.0,-51.0,-15.5,19.0
12/04/2020,AM_N,-74.0,-63.0,-34.0,-67.0,-48.0,13.0
12/04/2020,AM_S,-78.0,-52.0,-75.0,-75.5,-38.0,21.0
12/04/2020,AS,-45.0,-22.0,-46.0,-59.0,-20.0,13.0
12/04/2020,EU,-85.0,-62.0,-34.0,-65.0,-46.0,13.0
12/04/2020,OC,-91.5,-56.0,-75.0,-72.0,-48.0,17.0
13/03/2020,AF,-4.0,-3.0,-5.0,-4.0,3.0,1.0
13/03/2020,AM_N,6.0,25.0,14.0,3.0,-2.0,1.0
13/03/2020,AM_S,-5.0,4.0,-10.0,-2.0,16.0,-1.0
13/03/2020,AS,-3.0,2.0,-1.0,-16.0,-2.0,4.0
13/03/2020,EU,-10.0,14.0,1.0,-12.0,-6.0,4.0
13/03/2020,OC,2.0,2.0,-7.0,1.0,17.5,-1.0
13/04/2020,AF,-57.0,-46.0,-32.0,-55.5,-52.0,29.0
13/04/2020,AM_N,-55.0,-32.0,-43.0,-74.0,-69.0,23.0
13/04/2020,AM_S,-65.0,-37.0,-59.5,-64.5,-48.0,21.0
13/04/2020,AS,-36.0,-18.0,-37.0,-48.0,-30.0,14.0
13/04/2020,EU,-78.0,-44.0,-23.0,-71.5,-83.0,29.0
13/04/2020,OC,-88.5,-42.0,-72.5,-81.0,-80.0,29.0
14/03/2020,AF,-2.0,-1.0,-3.0,-7.0,4.0,1.0
14/03/2020,AM_N,0.0,18.0,6.0,0.0,-1.0,3.0
14/03/2020,AM_S,-5.0,6.0,-13.0,-9.0,4.0,2.0
14/03/2020,AS,-6.0,1.0,-9.0,-19.0,-1.0,4.0
14/03/2020,EU,-22.0,5.0,-2.0,-18.0,-6.0,4.0
14/03/2020,OC,3.5,4.5,-3.0,-3.0,4.0,1.0
14/04/2020,AF,-52.5,-40.0,-28.0,-48.0,-34.0,25.0
14/04/2020,AM_N,-49.0,-21.0,-30.5,-68.0,-60.0,21.0
14/04/2020,AM_S,-66.0,-33.0,-60.0,-64.0,-48.0,22.0
14/04/2020,AS,-34.0,-17.0,-24.0,-46.0,-30.0,14.0
14/04/2020,EU,-64.0,-23.0,-24.0,-60.0,-53.0,21.0
14/04/2020,OC,-87.0,-32.0,-73.0,-72.5,-61.0,22.0
15/02/2020,AF,3.0,1.0,3.0,3.0,4.0,0.0
15/02/2020,AM_N,5.0,2.0,13.0,4.0,0.0,-1.0
15/02/2020,AM_S,2.0,1.0,0.0,1.0,2.0,0.0
15/02/2020,AS,-1.0,2.5,2.0,-1.0,4.0,1.0
15/02/2020,EU,2.0,0.0,3.5,5.0,-0.5,0.0
15/02/2020,OC,5.5,4.5,-3.0,3.5,3.0,0.0
15/03/2020,AF,-5.0,-0.5,-4.0,-8.0,2.0,1.0
15/03/2020,AM_N,-1.0,16.0,12.0,1.0,-5.0,3.0
15/03/2020,AM_S,-14.0,6.0,-19.0,-14.0,-1.0,4.0
15/03/2020,AS,-6.0,4.0,-2.0,-16.0,-2.0,4.0
15/03/2020,EU,-29.0,3.0,-4.0,-23.0,-10.0,5.0
15/03/2020,OC,-1.0,6.5,-9.0,-6.0,1.5,2.0
15/04/2020,AF,-53.0,-37.0,-27.0,-46.0,-34.0,24.0
15/04/2020,AM_N,-50.0,-20.0,-37.0,-68.0,-60.0,22.5
15/04/2020,AM_S,-67.5,-31.0,-59.5,-65.0,-48.0,22.0
15/04/2020,AS,-34.0,-16.0,-24.0,-46.0,-31.0,14.0
15/04/2020,EU,-63.0,-23.0,-17.0,-57.0,-51.0,20.0
15/04/2020,OC,-86.0,-32.0,-70.5,-70.5,-61.0,23.0
16/02/2020,AF,0.0,-1.0,0.0,0.0,4.0,0.0
